iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,normal,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,normal,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03479009970233261,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,normal,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03479009970233261,0.03414229905369496,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,normal,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03479009970233261,0.03414229905369496,0.03394964198023395,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,normal,0.30000000000000004,state_emptying_tank_B201,Empty,Empty,Empty,Empty,0.02134397239120643,0.03414229905369496,0.03394964198023395,0.03544612731112617,0,0,0,1,1,0,0,0,1.0,0.0
6,normal,0.30000000000000004,state_emptying_tank_B202,Empty,Empty,Empty,Empty,0.02134397239120643,0.020661105018124598,0.03394964198023395,0.04892732134669653,0,0,0,1,0,1,0,0,1.0,0.0
7,normal,0.30000000000000004,state_emptying_tank_B203,Empty,Empty,Empty,Empty,0.02134397239120643,0.020661105018124598,0.02056032507675195,0.06231663825017853,0,0,0,1,0,0,1,0,1.0,0.0
8,normal,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.02134397239120643,0.020661105018124598,0.02056032507675195,0.021112076410287842,0,0,0,0,0,0,0,1,0.0,0.0
