iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,pump_degradation,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,pump_degradation,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.0340456175259563,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,pump_degradation,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.0340456175259563,0.0340708301803362,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,pump_degradation,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.0340456175259563,0.0340708301803362,0.034540768536792166,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,pump_degradation,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.02054618079803597,0.0340708301803362,0.034540768536792166,0.03549943672792033,0,0,0,1,1,0,0,0,0.0,1.0
6,pump_degradation,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.02054618079803597,0.020643110087171755,0.034540768536792166,0.04892715682108475,0,0,0,1,0,1,0,0,0.0,1.0
7,pump_degradation,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.02054618079803597,0.020643110087171755,0.02100906887057756,0.062458856487299354,0,0,0,1,0,0,1,0,0.0,1.0
8,pump_degradation,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.02054618079803597,0.020643110087171755,0.02100906887057756,0.02167478585443193,0,0,0,0,0,0,0,1,0.0,0.0
