iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,clogging_fault,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,clogging_fault,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03449194597719693,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,clogging_fault,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03449194597719693,0.03461207526449866,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,clogging_fault,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03449194597719693,0.03461207526449866,0.03460652093057376,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,clogging_fault,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.021022815260282934,0.03461207526449866,0.03460652093057376,0.035469130716913995,0,0,0,1,1,0,0,0,0.0,1.0
6,clogging_fault,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.021022815260282934,0.02093476144682419,0.03460652093057376,0.04914644453458849,0,0,0,1,0,1,0,0,0.0,1.0
7,clogging_fault,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.021022815260282934,0.02093476144682419,0.021224465536789337,0.0625284999283729,0,0,0,1,0,0,1,0,0.0,1.0
8,clogging_fault,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.021022815260282934,0.02093476144682419,0.021224465536789337,0.02139506715314553,0,0,0,0,0,0,0,1,0.0,0.0
