iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,sensor_fault,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,sensor_fault,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.0344764123611184,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,sensor_fault,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.0344764123611184,0.034213189392464774,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,sensor_fault,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.0344764123611184,0.034213189392464774,0.03447847316035882,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,sensor_fault,0.30000000000000004,state_emptying_tank_B201,Empty,Empty,Empty,Empty,0.021008917809218673,0.034213189392464774,0.03447847316035882,0.03546749455189972,0,0,0,1,1,0,0,0,1.0,0.0
6,sensor_fault,0.30000000000000004,state_emptying_tank_B202,Empty,Empty,Empty,Empty,0.021008917809218673,0.02058155496681225,0.03447847316035882,0.04909912897755222,0,0,0,1,0,1,0,0,1.0,0.0
7,sensor_fault,0.30000000000000004,state_emptying_tank_B203,Empty,Empty,Empty,Empty,0.021008917809218673,0.02058155496681225,0.021051369283227477,0.06252623285468356,0,0,0,1,0,0,1,0,1.0,0.0
8,sensor_fault,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.021008917809218673,0.02058155496681225,0.021051369283227477,0.021291672140370626,0,0,0,0,0,0,0,1,0.0,0.0
