iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,leak,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,leak,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03458988597211765,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,leak,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03458988597211765,0.03428485089204711,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,leak,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03458988597211765,0.03428485089204711,0.033940428378032884,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,leak,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.02107608539235365,0.03428485089204711,0.033940428378032884,0.03285970906678535,0,0,0,1,1,0,0,0,0.0,1.0
6,leak,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.02107608539235365,0.020822066951357732,0.033940428378032884,0.044134796612764045,0,0,0,1,0,1,0,0,0.0,1.0
7,leak,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.02107608539235365,0.020822066951357732,0.020598869386966867,0.054859453856398274,0,0,0,1,0,0,1,0,0.0,1.0
8,leak,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.02107608539235365,0.020822066951357732,0.020598869386966867,0.02198038328288667,0,0,0,0,0,0,0,1,0.0,0.0
