iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,leak,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,leak,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.034578741722198617,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,leak,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.034578741722198617,0.03448072459496568,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,leak,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.034578741722198617,0.03448072459496568,0.03460663710499808,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,leak,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.021085222491131074,0.03448072459496568,0.03460663710499808,0.032414619830491626,0,0,0,1,1,0,0,0,0.0,1.0
6,leak,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.021085222491131074,0.02083466965025785,0.03460663710499808,0.04318762992596721,0,0,0,1,0,1,0,0,0.0,1.0
7,leak,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.021085222491131074,0.02083466965025785,0.021170752849474506,0.054233848741770146,0,0,0,1,0,0,1,0,0.0,1.0
8,leak,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.021085222491131074,0.02083466965025785,0.021170752849474506,0.021619535753274743,0,0,0,0,0,0,0,1,0.0,0.0
