iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,normal,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,normal,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03438456076214931,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,normal,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03438456076214931,0.03494964562215488,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,normal,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03438456076214931,0.03494964562215488,0.03406902248679898,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,normal,0.30000000000000004,state_emptying_tank_B201,Empty,Empty,Empty,Empty,0.02086662017428329,0.03494964562215488,0.03406902248679898,0.03551794058786601,0,0,0,1,1,0,0,0,1.0,0.0
6,normal,0.30000000000000004,state_emptying_tank_B202,Empty,Empty,Empty,Empty,0.02086662017428329,0.021444529401250682,0.03406902248679898,0.049023056808770206,0,0,0,1,0,1,0,0,1.0,0.0
7,normal,0.30000000000000004,state_emptying_tank_B203,Empty,Empty,Empty,Empty,0.02086662017428329,0.021444529401250682,0.020716116304529117,0.06237596299104007,0,0,0,1,0,0,1,0,1.0,0.0
8,normal,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.02086662017428329,0.021444529401250682,0.020716116304529117,0.021386529254112264,0,0,0,0,0,0,0,1,0.0,0.0
