iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,pump_failure,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,pump_failure,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.034762762959471324,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,pump_failure,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.034762762959471324,0.03410882241493655,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,pump_failure,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.034762762959471324,0.03410882241493655,0.03469622220807094,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.021290169786959072,0.03410882241493655,0.03469622220807094,0.03547259317251225,0,0,0,1,1,0,0,0,0.0,1.0
6,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.021290169786959072,0.020537807080502297,0.03469622220807094,0.0490436085069465,0,0,0,1,0,1,0,0,0.0,1.0
7,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.021290169786959072,0.020537807080502297,0.021149780898634334,0.06259004981638311,0,0,0,1,0,0,1,0,0.0,1.0
8,pump_failure,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.021290169786959072,0.020537807080502297,0.021149780898634334,0.021093544500061737,0,0,0,0,0,0,0,1,0.0,0.0
