iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,normal,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,normal,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.0346593131156247,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,normal,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.0346593131156247,0.0351005660645596,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,normal,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.0346593131156247,0.0351005660645596,0.03494349878215163,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,normal,0.30000000000000004,state_emptying_tank_B201,Empty,Empty,Empty,Empty,0.021194010040322325,0.0351005660645596,0.03494349878215163,0.03546530307530237,0,0,0,1,1,0,0,0,1.0,0.0
6,normal,0.30000000000000004,state_emptying_tank_B202,Empty,Empty,Empty,Empty,0.021194010040322325,0.021457442271201898,0.03494349878215163,0.0491084268686601,0,0,0,1,0,1,0,0,1.0,0.0
7,normal,0.30000000000000004,state_emptying_tank_B203,Empty,Empty,Empty,Empty,0.021194010040322325,0.021457442271201898,0.021342086495820044,0.0627098391549917,0,0,0,1,0,0,1,0,1.0,0.0
8,normal,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.021194010040322325,0.021457442271201898,0.021342086495820044,0.021670406305547812,0,0,0,0,0,0,0,1,0.0,0.0
