model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,pump_degradation,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4313797002126063,2.286908942806934,33.37610770016909,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32167,870,21986,818,54153,1688,55841
gpt-4.1-mini,normal,pump_degradation,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.5315698140433858,2.436868457256683,35.020649700425565,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32167,928,21986,823,54153,1751,55904
gpt-4.1-mini,normal,clogging_fault,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.459629257209599,2.500504557043314,42.12696420028806,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,921,22007,858,54195,1779,55974
gpt-4.1-mini,normal,clogging_fault,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.736908357324345,2.268649600047086,35.25721010006964,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,967,22007,870,54195,1837,56032
gpt-4.1-mini,normal,clogging_fault,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9628882287070155,1.848369600118271,26.898679500445724,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,929,22007,851,54195,1780,55975
gpt-4.1-mini,normal,clogging_fault,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.548578799968319,2.509289671400828,35.545878199860454,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,909,22007,843,54195,1752,55947
gpt-4.1-mini,normal,clogging_fault,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3764950998925736,2.1311362285965254,31.835348500870168,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,895,22007,872,54195,1767,55962
gpt-4.1-mini,normal,clogging_fault,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.051668743070747,2.315898342856339,37.7919600000605,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,921,22007,863,54195,1784,55979
gpt-4.1-mini,normal,clogging_fault,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2294319284015467,2.5002775143033693,33.6275423001498,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,924,22007,874,54195,1798,55993
gpt-4.1-mini,normal,clogging_fault,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2770578000428423,2.0469860567578246,30.610753499902785,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,931,22007,865,54195,1796,55991
