model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,pump_degradation,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2296840428773845,2.2335151857197553,32.072568300005514,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31999,880,22140,927,54139,1807,55946
gpt-4.1-mini,normal,pump_degradation,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2619488285604996,2.50037915714451,34.72946599998977,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31999,954,22140,961,54139,1915,56054
gpt-4.1-mini,normal,clogging_fault,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1672652428637127,2.4992514714332565,33.675370200013276,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,837,22161,1007,54181,1844,56025
gpt-4.1-mini,normal,clogging_fault,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.6003183857122036,2.7446567999930784,38.22002870001597,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,884,22161,1035,54181,1919,56100
gpt-4.1-mini,normal,clogging_fault,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2715671714228978,2.7144234856989766,35.89791559998412,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,929,22161,966,54181,1895,56076
gpt-4.1-mini,normal,clogging_fault,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4667885000069094,2.5436157714242915,35.75318870000774,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,890,22161,1009,54181,1899,56080
gpt-4.1-mini,normal,clogging_fault,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4289791285659055,2.5319574714272415,35.34006129996851,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,896,22161,980,54181,1876,56057
gpt-4.1-mini,normal,clogging_fault,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.6543267142842524,2.155158128572761,34.261842100007925,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,946,22161,919,54181,1865,56046
gpt-4.1-mini,normal,clogging_fault,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1982802142738365,2.4073316714244095,32.85570999997435,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,930,22161,926,54181,1856,56037
gpt-4.1-mini,normal,clogging_fault,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.572003928561961,2.2184380857090997,34.112781499978155,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,897,22161,923,54181,1820,56001
gpt-4.1-mini,normal,clogging_fault,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3449860857134417,2.321300542846854,33.27121919998899,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,900,22161,974,54181,1874,56055
gpt-4.1-mini,normal,clogging_fault,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.431635228559441,2.68017011430181,36.33731550001539,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32020,962,22161,954,54181,1916,56097
gpt-4.1-mini,normal,sensor_fault,0,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.0390725571362833,2.5176300857149596,39.579000899975654,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,794,22113,901,54085,1695,55780
gpt-4.1-mini,normal,sensor_fault,1,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9290167285694875,2.337178857148891,30.654847599973436,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,750,22113,945,54085,1695,55780
gpt-4.1-mini,normal,sensor_fault,2,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.061443214279799,2.462790814294879,32.32692349998979,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31972,796,22113,925,54085,1721,55806
