model,prompt_level,fault,success_mean,success_std,success_sum,reached_end_mean,reached_end_sum,sequence_correct_mean,correct_path_mean,planning_accuracy_mean,planning_accuracy_std,actuator_accuracy_mean,missed_transitions_sum,physical_violations_sum,reprompts_mean,wall_time_mean,wall_time_std,process_completion_mean,first_try_rate_planning_mean,first_try_rate_action_mean,attempts_per_transition_mean,planning_input_tokens_sum,planning_output_tokens_sum,action_input_tokens_sum,action_output_tokens_sum,total_tokens_sum,aborted_success,aborted_reprompt_limit,aborted_max_iterations
gpt-4.1-mini,normal,pump_failure,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,34.383742950006855,3.708389776488258,1.0,1.0,1.0,1.0,319920,8384,221330,9122,558756,10,0,0
gpt-4.1-mini,normal,pump_degradation,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,34.91750313000521,1.8899305856672812,1.0,1.0,1.0,1.0,319990,8925,221400,9498,559813,10,0,0
gpt-4.1-mini,normal,clogging_fault,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,34.97254327999544,1.643572893588019,1.0,1.0,1.0,1.0,320200,9071,221610,9693,560574,10,0,0
gpt-4.1-mini,normal,sensor_fault,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,34.84114974999102,2.851890260399486,1.0,1.0,1.0,1.0,319720,7840,221130,9360,558050,10,0,0
gpt-4.1-mini,normal,leak,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,34.73637454999844,3.008994536651329,1.0,1.0,1.0,1.0,320130,9023,221540,9897,560590,10,0,0
gpt-4.1-mini,normal,normal,1.0,0.0,10,1.0,10,1.0,1.0,1.0,0.0,1.0,0,0,0.0,32.25620299000293,1.793345806969075,1.0,1.0,1.0,1.0,319650,7062,221060,8966,556738,10,0,0
