model,prompt_level,fault,success_mean,success_std,success_sum,reached_end_mean,reached_end_sum,sequence_correct_mean,correct_path_mean,planning_accuracy_mean,planning_accuracy_std,actuator_accuracy_mean,missed_transitions_sum,physical_violations_sum,reprompts_mean,wall_time_mean,wall_time_std,process_completion_mean,first_try_rate_planning_mean,first_try_rate_action_mean,attempts_per_transition_mean,planning_input_tokens_sum,planning_output_tokens_sum,action_input_tokens_sum,action_output_tokens_sum,total_tokens_sum,aborted_success,aborted_reprompt_limit,aborted_max_iterations
gpt-4o-mini,normal,pump_failure,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.6533333333333334,0,0,5.0,16.698307610000484,1.1876223388805922,0.14285714285714285,1.0,0.0,1.0,45660,598,196210,9158,251626,0,10,0
gpt-4o-mini,normal,pump_degradation,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.6466666666666667,0,0,5.0,19.494044399989072,2.471603336684724,0.14285714285714285,1.0,0.0,1.0,45670,582,196270,9337,251859,0,10,0
gpt-4o-mini,normal,clogging_fault,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.6233333333333334,0,0,5.0,23.07418489000411,3.903985390036507,0.14285714285714285,1.0,0.0,1.0,45700,708,196450,9255,252113,0,10,0
gpt-4o-mini,normal,sensor_fault,0.0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.615,0,0,5.0,21.101964050001698,5.802016792780671,0.14285714285714285,1.0,0.0,1.0,45640,578,196090,7888,250196,0,10,0
gpt-4o-mini,normal,leak,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.6199999999999999,0,0,5.0,26.751294829987454,4.056110820542558,0.14285714285714285,1.0,0.0,1.0,45690,604,196390,9795,252479,0,10,0
gpt-4o-mini,normal,normal,0.0,0.0,0,0.0,0,0.0,1.0,1.0,0.0,0.66,0,0,5.0,24.656945099984295,8.903601273684496,0.14285714285714285,1.0,0.0,1.0,45630,582,196030,7868,250110,0,10,0
