iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,leak,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,leak,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03456041325566434,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,leak,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03456041325566434,0.03492514571922883,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,leak,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03456041325566434,0.03492514571922883,0.03405908334293415,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,leak,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.020982269177182537,0.03492514571922883,0.03405908334293415,0.03299062709313027,0,0,0,1,1,0,0,0,0.0,1.0
6,leak,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.020982269177182537,0.021486275515337813,0.03405908334293415,0.04333324812354709,0,0,0,1,0,1,0,0,0.0,1.0
7,leak,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.020982269177182537,0.021486275515337813,0.021900075755117855,0.05310672976492738,0,0,0,1,0,0,1,0,0.0,1.0
8,leak,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.020982269177182537,0.021486275515337813,0.021900075755117855,0.021662632852253633,0,0,0,0,0,0,0,1,0.0,0.0
