iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,leak,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,leak,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.03501863532479388,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,leak,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.03501863532479388,0.034522052476553045,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,leak,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.03501863532479388,0.034522052476553045,0.0346711877136341,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,leak,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.02155324646373117,0.034522052476553045,0.0346711877136341,0.03266266515608136,0,0,0,1,1,0,0,0,0.0,1.0
6,leak,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.02155324646373117,0.021174797267647528,0.0346711877136341,0.04368585614828848,0,0,0,1,0,1,0,0,0.0,1.0
7,leak,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.02155324646373117,0.021174797267647528,0.021174139785516286,0.05446355120210471,0,0,0,1,0,0,1,0,0.0,1.0
8,leak,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.02155324646373117,0.021174797267647528,0.021174139785516286,0.02095732277200834,0,0,0,0,0,0,0,1,0.0,0.0
