iteration,fault_condition,time,state,tank_B201_state,tank_B202_state,tank_B203_state,tank_B204_state,level_B201,level_B202,level_B203,level_B204,valve_in_B201,valve_in_B202,valve_in_B203,valve_in_B204,valve_out_B201,valve_out_B202,valve_out_B203,valve_out_B204,pump_power,pump_power_alt
1,pump_failure,0,state_initialStep,Empty,Empty,Empty,Empty,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0
2,pump_failure,0.1,state_filling_tank_B201,Empty,Empty,Empty,Empty,0.034337192527887896,0.022,0.022,0.022,1,0,0,0,0,0,0,0,0.0,0.0
3,pump_failure,0.2,state_filling_tank_B202,Empty,Empty,Empty,Empty,0.034337192527887896,0.03419364229558947,0.022,0.022,0,1,0,0,0,0,0,0,0.0,0.0
4,pump_failure,0.30000000000000004,state_filling_tank_B203,Empty,Empty,Empty,Empty,0.034337192527887896,0.03419364229558947,0.03410396245240106,0.022,0,0,1,0,0,0,0,0,0.0,0.0
5,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b201,Empty,Empty,Empty,Empty,0.020830118311416176,0.03419364229558947,0.03410396245240106,0.035507074216471715,0,0,0,1,1,0,0,0,0.0,1.0
6,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b202,Empty,Empty,Empty,Empty,0.020830118311416176,0.020577342449681298,0.03410396245240106,0.04912337406237989,0,0,0,1,0,1,0,0,0.0,1.0
7,pump_failure,0.30000000000000004,state_bypass_emptying_tank_b203,Empty,Empty,Empty,Empty,0.020830118311416176,0.020577342449681298,0.020665041574565383,0.06256229494021556,0,0,0,1,0,0,1,0,0.0,1.0
8,pump_failure,0.30000000000000004,state_emptying_tank_B204,Empty,Empty,Empty,Empty,0.020830118311416176,0.020577342449681298,0.020665041574565383,0.021900485444838923,0,0,0,0,0,0,0,1,0.0,0.0
